738929.429454,-0.04,-0.76,-0.65,0.61,0.00,0.49104.00
738929.429456,-0.05,-0.76,-0.65,0.55,0.06,0.43104.00
738929.42946,-0.05,-0.76,-0.65,0.43,0.06,0.49104.00
738929.429461,-0.04,-0.76,-0.65,0.49,0.00,0.49104.00
738929.429464,-0.04,-0.76,-0.65,0.55,0.00,0.49104.00
738929.429466,-0.04,-0.76,-0.65,0.67,0.00,0.49104.00
738929.429468,-0.04,-0.76,-0.65,0.49,0.00,0.43104.00
738929.429471,-0.04,-0.76,-0.65,0.49,0.06,0.43104.00
738929.429473,-0.04,-0.76,-0.65,0.49,0.06,0.49104.00
738929.429476,-0.04,-0.76,-0.65,0.49,0.00,0.49104.00
738929.429478,-0.04,-0.76,-0.65,0.61,0.00,0.49104.00
738929.429481,-0.04,-0.76,-0.65,0.55,0.06,0.49104.00
738929.429483,-0.04,-0.76,-0.65,0.55,0.00,0.43104.00
738929.429485,-0.04,-0.76,-0.65,0.55,0.00,0.49104.00
738929.429488,-0.04,-0.76,-0.65,0.55,0.06,0.43104.00
738929.42949,-0.04,-0.76,-0.65,0.61,0.00,0.49104.00
738929.429492,-0.04,-0.76,-0.65,0.55,0.00,0.49104.00
738929.429495,-0.04,-0.76,-0.65,0.49,0.06,0.43104.00
738929.429497,-0.04,-0.76,-0.65,0.55,0.06,0.43104.00
738929.4295,-0.04,-0.76,-0.65,0.49,0.06,0.43104.00
738929.429502,-0.04,-0.76,-0.65,0.49,0.06,0.49104.00
738929.429504,-0.04,-0.76,-0.65,0.43,0.06,0.43104.00
738929.429507,-0.04,-0.76,-0.65,0.55,0.00,0.49104.00
738929.429509,-0.04,-0.76,-0.65,0.49,0.06,0.43104.00
738929.429512,-0.04,-0.76,-0.65,0.49,0.00,0.49104.00
738929.429514,-0.04,-0.76,-0.65,0.49,0.06,0.49104.00
738929.429516,-0.04,-0.76,-0.65,0.49,0.06,0.49104.00
738929.429519,-0.04,-0.76,-0.65,0.49,0.00,0.49104.00
738929.429521,-0.04,-0.76,-0.65,0.49,0.00,0.43104.00
738929.429524,-0.04,-0.76,-0.65,0.61,0.06,0.49104.00
738929.429526,-0.04,-0.76,-0.65,0.55,0.00,0.43104.00
738929.429528,-0.04,-0.76,-0.65,0.49,0.06,0.49104.00
738929.429531,-0.04,-0.76,-0.65,0.49,0.00,0.49104.00
738929.429533,-0.04,-0.76,-0.65,0.49,0.06,0.49104.00
738929.429536,-0.04,-0.76,-0.65,0.49,0.06,0.43104.00
738929.429538,-0.04,-0.76,-0.65,0.49,0.00,0.49104.00
738929.42954,-0.04,-0.76,-0.65,0.61,-0.06,0.49104.00
738929.429543,-0.04,-0.76,-0.65,0.61,0.00,0.49104.00
738929.429545,-0.04,-0.76,-0.65,0.49,0.06,0.49104.00
738929.429547,-0.04,-0.76,-0.65,0.55,0.06,0.49104.00
