94876, -0.05, 0.03, -9.91, 0.13, -0.01, -0.00, 0.13, -0.04
94953, -0.12, -0.02, -9.91, 0.13, -0.03, -0.01, 0.13, -0.04
95030, 0.00, 0.09, -9.90, 0.13, -0.01, -0.00, 0.13, -0.04
95107, -0.10, -0.10, -9.91, 0.13, -0.02, -0.01, 0.13, -0.04
95184, -0.00, 0.09, -9.91, 0.12, -0.01, -0.01, 0.12, -0.04
95261, -0.10, -0.00, -9.91, 0.12, -0.02, -0.01, 0.12, -0.04
95338, -0.09, 0.05, -9.91, 0.12, -0.02, -0.01, 0.12, -0.04
95415, -0.06, 0.08, -9.91, 0.12, -0.02, -0.01, 0.12, -0.04
95492, -0.05, 0.02, -9.90, 0.12, -0.01, -0.01, 0.12, -0.04
95569, -0.07, 0.01, -9.91, 0.12, -0.01, -0.01, 0.12, -0.04
95645, -0.00, 0.02, -9.91, 0.12, -0.00, -0.01, 0.12, -0.04
95723, -0.08, -0.01, -9.91, 0.13, -0.00, -0.00, 0.12, -0.04
95800, -0.01, 0.03, -9.90, 0.13, 0.01, -0.00, 0.12, -0.04
95877, -0.06, 0.00, -9.91, 0.12, 0.00, -0.00, 0.12, -0.04
95954, -0.06, 0.03, -9.91, 0.13, -0.00, 0.00, 0.13, -0.04
96031, -0.04, 0.00, -9.92, 0.12, 0.00, 0.00, 0.12, -0.04
96108, -0.17, -0.56, -10.01, 0.12, -0.03, -0.01, 0.12, -0.04
96185, 1.01, 2.54, -11.05, 0.13, 0.19, 0.02, 0.12, -0.04
96262, -0.24, 0.67, -9.90, 0.12, 0.11, 0.02, 0.12, -0.04
96339, 0.21, -0.07, -9.98, 0.12, 0.13, 0.03, 0.12, -0.04
96415, -1.36, -2.28, -9.93, 0.12, -0.17, -0.02, 0.12, -0.04
96493, 0.98, -0.07, -9.98, 0.12, 0.07, 0.00, 0.12, -0.04
96570, -0.01, 0.23, -9.92, 0.12, 0.06, 0.01, 0.12, -0.04
96646, 0.11, 0.03, -9.79, 0.12, 0.07, 0.01, 0.12, -0.04
96724, -0.04, 0.05, -9.91, 0.12, 0.06, 0.02, 0.12, -0.04
96801, 0.00, 0.05, -9.84, 0.12, 0.06, 0.02, 0.12, -0.04
96878, -0.29, 0.18, -9.87, 0.12, -0.01, 0.01, 0.12, -0.04
96955, 0.23, -0.00, -9.91, 0.12, 0.04, 0.01, 0.12, -0.04
97032, 0.24, 0.02, -9.74, 0.12, 0.09, 0.02, 0.12, -0.04
97109, 5.24, -0.56, -10.04, 0.12, 1.13, 0.18, 0.12, -0.04
97186, 10.59, 1.72, -10.02, 0.18, 3.06, 0.60, 0.15, -0.04
97263, 6.94, 2.26, -9.99, 0.27, 3.91, 1.04, 0.23, -0.05
97341, 3.79, 1.08, -9.44, 0.41, 3.99, 1.45, 0.34, -0.06
97418, 1.06, -2.34, -10.37, 0.39, 3.31, 1.61, 0.43, -0.05
97496, -3.29, -4.08, -11.32, 0.52, 1.93, 1.63, 0.54, -0.05
97574, -5.74, -2.39, -9.76, 0.64, 0.36, 1.52, 0.66, -0.05
97651, 0.66, -0.91, -12.46, 0.73, 0.37, 1.50, 0.76, -0.05
97728, -2.75, -0.11, -9.47, 0.78, -0.36, 1.34, 0.84, -0.04
97806, -1.49, 1.50, -9.75, 0.83, -0.70, 1.15, 0.90, -0.03
97883, -2.30, 0.41, -9.99, 0.90, -1.12, 0.95, 0.96, -0.02
97961, -1.72, 0.15, -10.16, 1.08, -1.17, 0.89, 1.05, -0.03
98038, -1.98, -0.15, -9.89, 0.97, -1.50, 0.61, 1.06, -0.02
98116, -1.46, -0.42, -9.87, 1.06, -1.54, 0.44, 1.09, -0.01
98192, -0.73, -0.03, -9.92, 0.98, -1.53, 0.19, 1.07, -0.00
98269, -0.30, 0.02, -9.95, 1.00, -1.37, 0.01, 1.06, 0.00
98346, -0.29, 0.05, -9.94, 1.00, -1.21, -0.13, 1.04, 0.01
98423, -0.33, -0.23, -9.92, 0.99, -1.07, -0.24, 1.01, 0.01
98500, -0.67, -0.37, -9.89, 1.05, -0.92, -0.25, 1.01, 0.01
98577, -1.45, -0.34, -9.91, 1.05, -0.96, -0.28, 1.01, 0.00
98655, -0.20, -0.19, -9.87, 1.18, -0.58, -0.12, 1.06, -0.01
98731, -0.33, -0.11, -9.93, 1.03, -0.55, -0.18, 1.04, -0.01
98808, -0.20, 0.10, -9.89, 1.02, -0.49, -0.23, 1.02, -0.01
98885, -0.37, 0.07, -9.92, 1.00, -0.47, -0.27, 1.00, -0.01
