306784, 0.04, -0.00, -1.01, 82.96
306861, 0.16, -0.06, -1.02, 86.02
306938, 0.26, -0.13, -1.02, 105.40
307015, 0.50, -0.02, -1.02, 133.79
307092, 0.42, 0.01, -1.02, 194.82
307168, 0.17, 0.02, -1.02, 281.18
307245, -0.11, 0.03, -1.01, 345.95
307323, -0.34, 0.02, -1.01, 419.05
307400, -0.42, -0.07, -1.00, 469.71
307476, -0.33, -0.00, -1.01, 492.32
307554, -0.24, -0.00, -1.01, 504.73
307630, -0.18, -0.02, -1.01, 513.06
307708, -0.07, 0.04, -1.00, 515.78
307784, -0.07, 0.00, -1.01, 507.11
307862, -0.11, -0.02, -1.01, 496.57
307939, -0.12, -0.02, -1.01, 483.65
308015, -0.07, -0.02, -1.01, 465.80
308092, -0.06, -0.02, -1.01, 489.94
308169, -0.04, 0.03, -1.01, 406.30
308246, 0.00, -0.01, -1.01, 374.51
308323, 0.02, -0.01, -1.01, 359.21
308401, 0.06, -0.00, -1.01, 337.79
308477, 0.02, -0.00, -1.01, 306.17
308555, -0.02, -0.02, -1.01, 283.56
308631, -0.03, -0.00, -1.01, 273.19
308709, -0.01, -0.02, -1.01, 248.54
308786, 0.01, 0.01, -1.01, 220.66
308863, 0.03, 0.03, -1.01, 198.39
308940, -0.00, 0.01, -1.01, 186.15
309016, 0.05, 0.03, -1.01, 173.91
309093, 1.66, -0.34, -1.04, 190.74
309170, 0.64, 0.09, -1.04, 285.26
309247, -1.22, 0.07, -0.99, 348.33
309324, -0.55, -0.06, -1.00, 363.12
309402, -0.23, -0.02, -1.01, 364.14
309478, 0.03, 0.00, -1.01, 364.48
309556, -0.02, 0.00, -1.01, 363.80
309633, 0.01, -0.00, -1.01, 364.48
309710, -0.01, 0.01, -1.01, 363.12
309786, -0.01, 0.00, -1.01, 363.80
309863, -0.06, 0.02, -1.01, 364.99
309940, -0.10, 0.01, -1.01, 353.77
310017, -0.09, -0.02, -1.01, 350.20
310094, -0.07, -0.01, -1.01, 339.66
310171, -0.06, -0.01, -1.01, 311.78
310248, -0.01, 0.00, -1.01, 291.21
310325, -0.01, -0.02, -1.01, 278.80
310402, -0.06, -0.01, -1.01, 257.21
310479, -0.06, -0.01, -1.01, 230.18
310556, 0.01, 0.02, -1.01, 204.51
310634, 0.03, 0.01, -1.01, 190.91
310710, 0.05, 0.01, -1.01, 151.98
310787, 0.06, -0.02, -1.01, 137.19
310864, 0.08, -0.00, -1.01, 130.56
310941, 0.06, 0.02, -1.01, 120.53
311019, 0.03, -0.01, -1.01, 107.27
311095, 0.06, -0.01, -1.01, 102.00
311172, 0.03, -0.02, -1.01, 99.96
311249, 0.03, 0.00, -1.00, 101.15
311326, -0.05, -0.08, -0.98, 102.34
311403, -0.06, 0.00, -1.00, 102.00
311480, -0.00, 0.00, -1.01, 98.77
311557, -0.01, 0.00, -1.01, 101.66
311634, -0.00, 0.00, -1.01, 102.85
311712, -0.01, 0.00, -1.01, 98.77
311789, -0.00, 0.00, -1.01, 97.92
311865, -0.01, 0.00, -1.01, 97.58
311943, -0.00, 0.00, -1.01, 98.77
312020, -0.00, 0.00, -1.01, 97.92
312097, -0.01, 0.00, -1.01, 98.77
312174, -0.00, 0.00, -1.01, 97.92
312250, -0.01, 0.00, -1.01, 97.92
312327, -0.00, 0.00, -1.01, 97.92
312404, 0.00, 0.00, -1.01, 98.77
312482, -0.00, -0.00, -1.01, 97.92
312558, -0.00, 0.01, -1.01, 97.92
312635, -0.00, -0.01, -1.01, 97.92
312712, -0.01, 0.01, -1.01, 102.68
312789, -0.00, -0.01, -1.01, 97.75
312866, -0.00, 0.01, -1.01, 97.92
312943, -0.00, -0.00, -1.01, 97.58
313020, -0.01, 0.00, -1.01, 97.58
313098, -0.00, 0.00, -1.01, 98.77
313175, -0.00, 0.00, -1.01, 97.92
313251, -0.01, 0.00, -1.01, 98.77
313329, -0.00, 0.00, -1.01, 98.77
313406, -0.01, 0.00, -1.01, 97.75
313483, -0.00, 0.00, -1.01, 97.92
313559, -0.00, 0.00, -1.01, 97.92
313636, -0.00, 0.00, -1.01, 98.60
313714, -0.00, 0.00, -1.01, 98.77
313791, -0.01, 0.00, -1.01, 98.77
313868, -0.00, 0.00, -1.01, 98.77
313945, -0.00, 0.00, -1.01, 98.77
314022, 0.00, -0.00, -1.01, 98.77
314099, -0.01, 0.01, -1.01, 98.77
314176, -0.00, 0.00, -1.01, 97.92
314252, 0.00, -0.01, -1.01, 98.77
